Persistent EPS in the Last Four Seasons,Non-industry income and expenditure/revenue,Borrowing dependency,Total debt/Total net worth,Net Income to Total Assets,Current Liability to Assets,Net worth/Assets,Quick Ratio,ROA(C) before interest and depreciation before interest,ROA(B) before interest and depreciation after tax,Equity to Liability,Net Income to Stockholder's Equity,Revenue Per Share (Yuan ¥),Retained Earnings to Total Assets,Operating Profit Rate,Degree of Financial Leverage (DFL),ROA(A) before interest and % after tax,Debt ratio %,Accounts Receivable Turnover,Net Value Per Share (C),Bankrupt?
0.220005673,0.303522834,0.378709322,0.008354991,0.806263915,0.087413141,0.858663119,0.004172245,0.504070589,0.55864875,0.025953223,0.840954676,0.052981835,0.935009282,0.998988615,0.027637049,0.55980157,0.141336881,0.00205533,0.175129577,0
0.217452964,0.303467002,0.371230845,0.003253723,0.802551849,0.054771596,0.922514134,0.008200383,0.487398235,0.533647412,0.049622455,0.840455976,0.020055356,0.933563971,0.999041651,0.026924264,0.543720017,0.077485866,0.001164619,0.176478025,0
0.219343859,0.303553772,0.369637181,0.004424625,0.804639012,0.012548281,0.903649061,0.022852523,0.485253254,0.534664597,0.039507005,0.840638613,0.012266134,0.93976514,0.999065454,0.026793778,0.545573485,0.096350939,0.001815913,0.189119717,0
0.225394724,0.303530569,0.371209596,0.004728294,0.814011883,0.068526104,0.899265351,0.012931588,0.504558085,0.553027464,0.037680086,0.84131147,0.037872257,0.937920805,0.999029981,0.02688993,0.564489751,0.100734649,0.000762886,0.185453626,0
0.223220195,0.303432922,0.377012769,0.008955945,0.808976427,0.07763949,0.853493364,0.005050612,0.51201677,0.569034745,0.024914605,0.841234474,0.032502987,0.936223802,0.999058637,0.02756541,0.563672045,0.146506636,0.001438528,0.176983692,0
0.21896568,0.303391592,0.387275964,0.017036449,0.798103629,0.148790999,0.806965565,0.004563393,0.49485692,0.540446491,0.018005125,0.840325896,0.032654234,0.938561233,0.999052397,0.029363911,0.54813563,0.193034435,0.00116259,0.184400152,0
0.221896568,0.303456125,0.388057698,0.017411248,0.803444645,0.147142955,0.805484173,0.004270812,0.509969288,0.552599176,0.017839201,0.841046745,0.062328902,0.933883562,0.999024781,0.028206124,0.561382468,0.194515827,0.000862305,0.172896212,0
0.203554883,0.303016717,0.377159275,0.008984215,0.772908885,0.044651633,0.853251504,0.004348168,0.444986106,0.495529739,0.024868729,0.837925614,0.007698474,0.923742746,0.998925064,0.026415313,0.50365242,0.146748496,0.000807523,0.161307994,0
0.224260187,0.303466277,0.372166913,0.004138283,0.812973644,0.066073203,0.907942075,0.004628896,0.519280456,0.568606456,0.041464966,0.841187895,0.020463723,0.942045501,0.999099309,0.026924486,0.563617532,0.092057925,0.001111866,0.179217058,0
0.228420157,0.303543379,0.369875392,0.001275773,0.830176405,0.038373351,0.96390241,0.012717611,0.54740896,0.592483538,0.104842365,0.841854182,0.023261793,0.943096297,0.999111788,0.02685216,0.59305495,0.03609759,0.00131882,0.182630315,0
0.220572941,0.303694924,0.3719712,0.003978698,0.812100285,0.049464084,0.910421139,0.007893453,0.500853118,0.550564805,0.0426819,0.841115993,0.019283997,0.937685848,0.998982376,0.027066721,0.563944614,0.089578861,0.000738539,0.177952889,0
0.177838707,0.30325769,0.392590414,0.025951358,0.750430839,0.198285095,0.780391208,0.001933905,0.416126359,0.463782858,0.015348595,0.831976032,0.060529062,0.908947698,0.998972554,0.026471873,0.470235499,0.219608792,0.002714739,0.156209178,1
0.202514891,0.303477395,0.396528161,0.030692419,0.787081562,0.141036558,0.771109835,0.001388669,0.462194706,0.514427967,0.014561571,0.838258502,0.013581983,0.868460717,0.998908888,0.024885858,0.53603358,0.228890165,0.001345196,0.145505878,1
0.21102392,0.303414553,0.38402489,0.021491168,0.796022666,0.144464756,0.791758624,0.002473527,0.476088334,0.529685743,0.016403931,0.840052355,0.02906968,0.908330179,0.999014036,0.174090904,0.54448321,0.208241376,0.001477078,0.158695377,0
0.225394724,0.303547246,0.37558015,0.005973062,0.814102144,0.088027511,0.883151435,0.00669256,0.505874324,0.559826543,0.032085741,0.841431598,0.044133884,0.93747354,0.998999939,0.027118794,0.570704317,0.116848565,0.001308675,0.177025831,0
0.218209322,0.303621931,0.370535225,0.002449411,0.802923478,0.062985232,0.93766061,0.009680132,0.486374494,0.540500027,0.061886603,0.840451101,0.025061633,0.937101764,0.998943552,0.027003182,0.544755778,0.06233939,0.001105779,0.185875016,0
0.218682046,0.303474978,0.37531398,0.006609581,0.803065744,0.107973141,0.875895637,0.007094937,0.494369424,0.548583971,0.030023557,0.840608632,0.080327299,0.934730337,0.998995317,0.027676969,0.550915831,0.124104363,0.001416209,0.174033964,0
0.213576629,0.303743022,0.376271296,0.006472793,0.811257383,0.026824926,0.877377029,0.004129824,0.475162092,0.525028106,0.030431234,0.841252149,0.015427197,0.938233789,0.998973363,0.027114608,0.564544265,0.122622971,0.001992432,0.180186254,0
0.209794838,0.303212493,0.377688259,0.008127012,0.784384879,0.0668864,0.860718929,0.003461691,0.462925949,0.51710477,0.026387357,0.839028885,0.011252779,0.927407109,0.998997397,0.026385277,0.516354121,0.139281071,0.001036795,0.166111837,0
0.2149948,0.303448633,0.377008296,0.009039842,0.797743521,0.066789899,0.852798017,0.005765533,0.478915809,0.529310991,0.024780878,0.840205746,0.021204834,0.930539498,0.999017386,0.028425545,0.541321413,0.147201983,0.00093129,0.167502423,0
0.215372979,0.303508332,0.372061787,0.004358967,0.798173898,0.036910939,0.904616501,0.011513599,0.481060791,0.530863537,0.03993517,0.840192796,0.025197755,0.932102119,0.998975443,0.029087604,0.539467946,0.095383499,0.001186938,0.172179849,0
0.212253002,0.303583742,0.373058246,0.003403277,0.80137157,0.031842533,0.91991414,0.012083789,0.486228246,0.544140479,0.047959942,0.840385757,0.01553307,0.934363318,0.998953142,0.028872766,0.548026603,0.08008586,0.000927232,0.177110109,0
0.221612934,0.303441623,0.374405871,0.006145414,0.815731085,0.062031959,0.881125858,0.005322607,0.507824307,0.549226404,0.031485359,0.841573617,0.022641681,0.932853038,0.999135707,0.026907691,0.571631051,0.118874142,0.001059114,0.17791075,0
0.220667486,0.30440576,0.372736159,0.002790469,0.811426301,0.049789358,0.93097923,0.003651962,0.48915322,0.541517212,0.055857782,0.840978536,0.003629929,0.942100288,0.998970821,0.027016825,0.562690798,0.06902077,0.001365485,0.185074375,0
0.225489269,0.303528877,0.373331126,0.003795402,0.81356776,0.06116038,0.91335369,0.005565281,0.511188027,0.559077038,0.044195081,0.841197467,0.022142565,0.945429866,0.999077471,0.0269856,0.566888356,0.08664631,0.001093606,0.186970629,0
0.228325612,0.303502531,0.377794503,0.007982929,0.816256592,0.104974926,0.862018926,0.003237108,0.523034173,0.576422721,0.026673956,0.841802241,0.054494306,0.938496381,0.999027208,0.027130516,0.575883123,0.137981074,0.00217098,0.178964224,0
0.222842016,0.303489721,0.371372877,0.004079009,0.807572629,0.070218037,0.908849049,0.006854135,0.508848048,0.552920392,0.041905813,0.84082036,0.020811592,0.935180058,0.999062103,0.026877363,0.553423463,0.091150951,0.001170706,0.174413215,0
0.220572941,0.303528877,0.369637181,0.004282366,0.806666538,0.010947135,0.905765335,0.017748884,0.488958222,0.538947481,0.040449897,0.840770515,0.011615772,0.94055514,0.999098154,0.026792271,0.54900785,0.094234665,0.001787508,0.187097046,0
0.222842016,0.303491172,0.370670547,0.004653517,0.813580403,0.067677077,0.900323488,0.014383265,0.502120606,0.545853632,0.038105212,0.841274522,0.04126019,0.937669899,0.999048353,0.026862286,0.563508504,0.099676512,0.000837958,0.185200792,0
0.225772903,0.303395701,0.375735602,0.008422473,0.809900026,0.083577917,0.85805847,0.005068704,0.523082923,0.57235398,0.025829305,0.84128167,0.032714733,0.937543557,0.999101736,0.027169552,0.563344963,0.14194153,0.001328964,0.178753529,0
0.219532949,0.303480295,0.388924428,0.0192287,0.799841684,0.1547353,0.798893491,0.004405561,0.493345683,0.539804058,0.017125137,0.840598891,0.030945143,0.939119704,0.999022817,0.028758633,0.550534235,0.201106509,0.000975926,0.185411487,0
0.218492956,0.303439448,0.38553915,0.015091329,0.802637951,0.148863536,0.815339964,0.004202189,0.505630576,0.549172868,0.01899811,0.840860319,0.049609026,0.932966188,0.99903079,0.028520302,0.559747056,0.184660036,0.000706076,0.172516961,0
0.212442091,0.30315666,0.378099816,0.009931697,0.78812564,0.061828918,0.84578408,0.002901482,0.469555891,0.522511912,0.023491356,0.839285132,0.007940469,0.9211574,0.999045118,0.02574873,0.527202355,0.15421592,0.00087245,0.159538157,0
0.223882008,0.303420112,0.372056195,0.004109102,0.811328898,0.074449813,0.908395562,0.00426083,0.523716667,0.568178168,0.041680209,0.841074766,0.01987386,0.941752414,0.999133049,0.026953884,0.56154601,0.091604438,0.001174764,0.179427753,0
0.221612934,0.303444765,0.371134666,0.00194968,0.812826429,0.054898495,0.948151283,0.010421254,0.521912933,0.568178168,0.074265998,0.840991944,0.020191479,0.937410454,0.999097923,0.026911796,0.564871348,0.051848717,0.001050998,0.178669251,0
0.221896568,0.303671721,0.371953306,0.00426048,0.809661363,0.066617814,0.906097893,0.006195359,0.503193097,0.550671878,0.040601054,0.840973026,0.017574905,0.936300905,0.999001441,0.026991378,0.559692543,0.093902107,0.000773031,0.179385614,0
0.200151272,0.303051763,0.392383517,0.022234381,0.777094466,0.089798443,0.78964235,0.001559601,0.453029786,0.505594518,0.016198909,0.837052996,0.01119228,0.920882488,0.99893997,0.026050062,0.516572176,0.21035765,0.001487223,0.156799124,1
0.206013047,0.303501323,0.405124999,0.034784195,0.791982245,0.201894138,0.764700547,0.002200909,0.472090869,0.517051234,0.014054216,0.839162226,0.038855362,0.91282594,0.998960422,0.022761802,0.538813781,0.235299453,0.001000274,0.148202773,1
0.084239387,0.302759791,0.262035237,0.126572374,0.525650952,0.252297963,0.678628654,0.00330885,0.066933164,0.054820922,0.00917817,1,0.045842975,0.841966378,0.998824769,0.026763138,0.057184911,0.321371346,0.001310704,0.120011799,1
0.175002364,0.303466035,0.391787431,0.026809473,0.746585997,0.198480138,0.778547027,0.001948254,0.406668942,0.453450399,0.015185546,0.831081516,0.041895428,0.915031112,0.998830778,0.026590329,0.467291758,0.221452973,0.001197082,0.151531752,1
0.215656613,0.303450808,0.38224446,0.019753965,0.797585081,0.112883313,0.797140007,0.003603302,0.48223078,0.536431286,0.016943025,0.840279753,0.028086574,0.903544494,0.999003636,0.032352933,0.544319669,0.202859993,0.001606931,0.156082761,0
0.22095112,0.303501565,0.37787167,0.008377789,0.804705531,0.114493576,0.858451492,0.004127952,0.488519475,0.540339419,0.025912547,0.840817533,0.062238154,0.936347817,0.998996588,0.027157284,0.550152638,0.141548508,0.00158867,0.183388816,0
0.215089345,0.303550146,0.369637181,0.001502841,0.797389747,0.038401773,0.958369864,0.01595971,0.476478331,0.527811981,0.091710054,0.840118267,0.021628326,0.942043664,0.998959959,0.026881827,0.533416921,0.041630136,0.001028679,0.181281868,0
0.218871135,0.303462651,0.374532246,0.006455466,0.786042687,0.076037075,0.877588657,0.008819232,0.488129479,0.547459714,0.030485744,0.839257203,0.073294312,0.928823726,0.998973941,0.026487426,0.518916267,0.122411343,0.001710408,0.168176647,0
0.210551196,0.303599936,0.37558015,0.005920171,0.802978469,0.027309642,0.883786317,0.004586475,0.469165895,0.516141121,0.032276295,0.840577257,0.015412073,0.934188186,0.99898122,0.027370193,0.547863061,0.116213683,0.001915332,0.176098774,0
0.21698024,0.303404643,0.379104104,0.009655386,0.802836624,0.074733074,0.847900354,0.004285784,0.48227953,0.540125274,0.023865991,0.840696027,0.016606924,0.931638648,0.999049393,0.028528508,0.552932839,0.152099646,0.001166648,0.165648308,0
0.210645741,0.303427363,0.378454336,0.010507118,0.790519359,0.089336666,0.841611996,0.004074926,0.464193438,0.5150704,0.022774349,0.839500564,0.022566057,0.929574206,0.998981682,0.025818056,0.526766245,0.158388004,0.001010419,0.171042097,0
0.215751158,0.303531777,0.372762999,0.004716439,0.800033865,0.044979554,0.899446745,0.012617173,0.475893336,0.52877563,0.037747762,0.840327583,0.026347233,0.933718216,0.998974172,0.02730973,0.540558221,0.100553255,0.00141418,0.174160381,0
0.20884939,0.303469902,0.373364677,0.003744335,0.784318912,0.065032002,0.9142002,0.007113029,0.473504607,0.52797259,0.044640214,0.839279504,0.014897833,0.927521695,0.998914665,0.026551968,0.514500654,0.0857998,0.000894768,0.172769795,0
0.222558381,0.303435339,0.374562441,0.005680336,0.808047123,0.045633441,0.886688636,0.007555332,0.503534344,0.551474918,0.03318426,0.840949758,0.024199525,0.932855984,0.999079897,0.026914093,0.5539686,0.113311364,0.001109837,0.176225191,0
0.218114777,0.303849611,0.372542682,0.002603525,0.803444357,0.031556182,0.934576896,0.004797333,0.478330815,0.53027464,0.058971162,0.840487618,0.003947548,0.941790765,0.998996935,0.027082289,0.545900567,0.065423104,0.001272154,0.186085711,0
0.220100217,0.303461201,0.377393012,0.008206349,0.802988533,0.057609156,0.859993349,0.005557171,0.496368157,0.545532416,0.026233588,0.840659115,0.038053753,0.940692863,0.99903391,0.027189898,0.549062364,0.140006651,0.001726639,0.186844212,0
0.234943746,0.303517275,0.374286206,0.004876025,0.827984673,0.076695831,0.897209541,0.004027514,0.544825233,0.589217838,0.036870926,0.842318562,0.065716835,0.942619685,0.999038647,0.026870882,0.588148713,0.102790459,0.003258499,0.183515233,0
0.225772903,0.3035151,0.370275765,0.003519091,0.818485753,0.060743851,0.917918796,0.006890318,0.520060449,0.563092243,0.046764118,0.841489101,0.02447177,0.939887837,0.999083826,0.026803341,0.56972307,0.082081204,0.001410122,0.176140913,0
0.219816583,0.303661811,0.369637181,0.004571444,0.805047866,0.015602396,0.901502555,0.014515519,0.488811973,0.537769688,0.038593594,0.840673489,0.010330172,0.940056133,0.999043038,0.02679642,0.546391191,0.098497445,0.001560265,0.187054907,0
0.236078283,0.303513166,0.370900929,0.004277807,0.824062232,0.063456224,0.9058258,0.017508082,0.532394092,0.574281278,0.040479512,0.841955022,0.045661479,0.942446954,0.999072271,0.026806308,0.580680331,0.0941742,0.000904913,0.191268805,0
0.227569254,0.303500598,0.374071481,0.007071923,0.814382786,0.099759021,0.870967742,0.004830397,0.525032906,0.576369185,0.028753559,0.841555087,0.030733397,0.938416026,0.99906557,0.026944775,0.566397732,0.129032258,0.00135737,0.179807003,0
0.218587501,0.303487304,0.388757792,0.017978461,0.798860819,0.111648055,0.803337667,0.005371266,0.489543216,0.535895926,0.01760103,0.840439916,0.037025273,0.939490544,0.999009067,0.028875132,0.54726341,0.196662333,0.001036795,0.188951161,0
0.226907441,0.303475703,0.384182579,0.014541442,0.809426008,0.156505135,0.817939958,0.003686273,0.512553015,0.558862894,0.01932684,0.841654699,0.052603718,0.935860147,0.999034372,0.027327058,0.564816834,0.182060042,0.0008339,0.175677384,0
0.216885695,0.303671962,0.378162444,0.010265459,0.799686702,0.065067198,0.843335248,0.002341897,0.481938283,0.53611007,0.023065359,0.840407766,0.009029448,0.932608836,0.998938237,0.029027307,0.546990842,0.156664752,0.000837958,0.166828199,0
0.232485582,0.303543137,0.371386297,0.003964107,0.825485714,0.080245887,0.910662998,0.006731862,0.540145274,0.582579367,0.042796436,0.842005284,0.023972655,0.947071789,0.999143217,0.026820798,0.582315744,0.089337002,0.001373601,0.186338545,0
0.223598374,0.303484887,0.37081146,0.001438094,0.813768817,0.030035978,0.959941954,0.020715246,0.523034173,0.570159002,0.095087239,0.840999192,0.020766217,0.937759735,0.999074813,0.026872035,0.563126908,0.040058046,0.001146359,0.178247861,0
0.223692919,0.303863388,0.370833827,0.002941847,0.813607337,0.036076505,0.928137376,0.009065025,0.505923073,0.552010279,0.053610323,0.841124226,0.01350636,0.937901496,0.99897163,0.026844441,0.56345399,0.071862624,0.00071622,0.182166786,0
0.198354921,0.303504465,0.381058998,0.015179785,0.769318031,0.171664967,0.814916709,0.004555907,0.432749963,0.482092189,0.018947709,0.836765896,0.040882073,0.920323044,0.998895484,0.02653155,0.492749673,0.185083291,0.001020563,0.158611099,1
0.216507516,0.30315666,0.380509883,0.018686109,0.766035222,0.072884397,0.800767905,0.004507247,0.480622045,0.534611061,0.017323836,0.835834418,0.028918432,0.890634803,0.999021893,0.026664875,0.487080244,0.199232095,0.001606931,0.153385867,0
0.21896568,0.303516067,0.37773523,0.008085064,0.800260527,0.107996408,0.861081718,0.004593337,0.480085799,0.534611061,0.026470938,0.840416734,0.068983771,0.935490858,0.998972901,0.027606168,0.541593982,0.138918282,0.001793595,0.180860478,0
0.215467524,0.303530327,0.369637181,0.001809245,0.798238385,0.041383196,0.951295462,0.017790682,0.474674597,0.527811981,0.078900322,0.840167745,0.023261793,0.942644715,0.998967817,0.026827012,0.534779765,0.048704538,0.00085216,0.181956091,0
0.211118465,0.303513891,0.37784483,0.009017044,0.789635775,0.134181418,0.852979412,0.005203453,0.464485936,0.520477542,0.02481635,0.839459977,0.083019496,0.929281716,0.998955453,0.026352716,0.524204099,0.147020588,0.002081706,0.165859003,0
0.220856576,0.303694924,0.376993757,0.007185913,0.807176089,0.029607174,0.869788675,0.004281417,0.489348218,0.53991113,0.028463617,0.840969421,0.018316016,0.935256306,0.998957302,0.026937995,0.552060619,0.130211325,0.002016779,0.176899414,0
0.215845703,0.303438965,0.380571393,0.010689501,0.798076143,0.113477134,0.840311999,0.002724311,0.47769707,0.53230901,0.022562823,0.840254094,0.01759003,0.932474784,0.999013111,0.030297991,0.541703009,0.159688001,0.001335051,0.167586701,0
0.211402099,0.303576975,0.379165614,0.010899242,0.797369558,0.061472423,0.838891072,0.005827917,0.463169697,0.515016864,0.022328747,0.840184676,0.026664852,0.929809936,0.998944476,0.028796378,0.537232883,0.161108928,0.00104694,0.172601239,0
0.214427531,0.303509299,0.37342395,0.005632005,0.7939996,0.054738923,0.887293285,0.012711997,0.4685809,0.522244231,0.033376274,0.839894355,0.031716503,0.931455733,0.998959844,0.026171925,0.52916485,0.112706715,0.001495338,0.177615777,0
0.209983927,0.303581567,0.373503354,0.004130076,0.783431474,0.086005072,0.908063005,0.006739348,0.476673329,0.531452433,0.041526973,0.83919715,0.018890754,0.926685637,0.998880347,0.026632897,0.512047536,0.091936995,0.000837958,0.16556403,0
0.228892881,0.303470385,0.373316588,0.004976336,0.821700552,0.05306934,0.895818847,0.007297685,0.521620436,0.566893303,0.036346483,0.841884719,0.028116823,0.937256539,0.999115486,0.026817072,0.575937636,0.104181153,0.001136214,0.179048502,0
0.229176515,0.304372406,0.372026,0.002297121,0.813863909,0.031161069,0.940744324,0.005176004,0.50514308,0.561432625,0.065110879,0.841081811,0.004446663,0.948081249,0.998981567,0.026888369,0.563126908,0.059255676,0.000984042,0.189498968,0
0.218871135,0.303481987,0.375376608,0.006716275,0.801531632,0.064610143,0.87471657,0.00580234,0.488616975,0.542213181,0.029715376,0.840489151,0.038356247,0.941712687,0.999004098,0.027212239,0.542956825,0.12528343,0.001513599,0.18570646,0
0.22709653,0.303526218,0.374602702,0.005469683,0.816487687,0.061969362,0.889318862,0.005496658,0.512991761,0.564162964,0.034046443,0.841562417,0.091927946,0.939097145,0.998991966,0.026900931,0.565961622,0.110681138,0.003763708,0.182335342,0
0.232485582,0.30353081,0.370924414,0.004202117,0.827878672,0.069425255,0.906974635,0.005575262,0.529859114,0.5799561,0.041011104,0.842202691,0.027935327,0.94295667,0.999098501,0.026802025,0.586022678,0.093025365,0.001546062,0.180607644,0
0.2149948,0.303470627,0.369637181,0.001770033,0.797257394,0.012125745,0.952172204,0.015881106,0.474187101,0.524064457,0.080288803,0.84011287,0.009921805,0.939296757,0.99902559,0.026799695,0.53281727,0.047827796,0.001416209,0.193586448,0
0.224165642,0.303568757,0.37143886,0.004098159,0.819658694,0.060808444,0.908546724,0.015493701,0.496806903,0.543551582,0.041761066,0.841633707,0.055235416,0.942993144,0.999004907,0.026824352,0.570704317,0.091453276,0.000929261,0.19021533,0
0.229554694,0.303523801,0.373075022,0.006311383,0.820055304,0.097805879,0.879221211,0.005011934,0.52688539,0.57181862,0.030939423,0.841928855,0.031414009,0.941180331,0.999092145,0.026825869,0.571522024,0.120778789,0.001188967,0.182377481,0
0.223692919,0.303568274,0.388174008,0.017745921,0.801809219,0.09820853,0.804184176,0.006108646,0.484278263,0.53557471,0.01769655,0.840837168,0.042560915,0.941691237,0.998973825,0.027873465,0.548190144,0.195815824,0.001361428,0.193375753,0
0.228609246,0.303522351,0.379728149,0.01087918,0.813709224,0.147372098,0.839012002,0.004515981,0.513820504,0.55864875,0.022350515,0.841840223,0.058577975,0.93727788,0.999017617,0.027004288,0.565416485,0.160987998,0.000898826,0.17706797,0
0.219343859,0.303921396,0.378279872,0.010638434,0.804306892,0.051896277,0.840674789,0.002811025,0.48340077,0.53760908,0.022621556,0.840877346,0.009120196,0.934138241,0.998878499,0.02722007,0.549607501,0.159325211,0.000957666,0.16640681,0
0.231351045,0.303532502,0.370081171,0.00288622,0.826247035,0.059386616,0.929195513,0.008880992,0.538439039,0.582579367,0.054415661,0.841891527,0.024290273,0.943543262,0.99912473,0.026809125,0.583296991,0.070804487,0.001365485,0.184947958,0
0.220100217,0.303505432,0.374115097,0.004141931,0.807092788,0.029666184,0.90788161,0.017612887,0.502705601,0.55334868,0.041442091,0.840791674,0.018512637,0.935067187,0.999042576,0.026911276,0.55527693,0.09211839,0.00096984,0.175677384,0
0.221802023,0.303859279,0.371381824,0.003478055,0.809635499,0.043963122,0.918614143,0.008123026,0.49602691,0.544889983,0.047172597,0.840917382,0.011918266,0.937744832,0.998949907,0.026842995,0.555494985,0.081385857,0.000653323,0.180944756,0
0.22511109,0.303419145,0.381969343,0.016721838,0.805041237,0.137855301,0.80823533,0.003171605,0.504363087,0.555329514,0.018150152,0.841229458,0.055462287,0.934494715,0.999059792,0.027821365,0.562254688,0.19176467,0.001081432,0.184695125,1
0.214616621,0.303433406,0.38626273,0.017898212,0.796483203,0.061768143,0.803609759,0.002137277,0.470677132,0.523850313,0.017633492,0.840113834,0.018754632,0.931547845,0.999009645,0.03570033,0.5369058,0.196390241,0.001773305,0.177110109,1
0.237590999,0.303817223,0.377516032,0.007624545,0.821649762,0.036341504,0.865435197,0.00366631,0.496124409,0.559933615,0.027434088,0.842223704,0.020327601,0.940010767,0.999057135,0.026997024,0.582806367,0.134564803,0.004112688,0.220302558,0
0.252434528,0.303702416,0.3767466,0.007329084,0.825518796,0.053801758,0.868337515,0.004181602,0.522741676,0.589271374,0.028115753,0.842508346,0.031202263,0.943071757,0.999064645,0.027064739,0.591419538,0.131662485,0.001272154,0.226244153,0
0.208093032,0.303564648,0.373530195,0.00424589,0.79411053,0.040727287,0.90630952,0.003300116,0.446302345,0.499544944,0.04070064,0.839915446,0.009846182,0.931717332,0.998894906,0.026101246,0.53150894,0.09369048,0.003873272,0.176941553,0
